id,season,city,date,team1,team2,toss_winner,toss_decision,After_decision_match_result,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2
11,2017,Kolkata,13/04/2017,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Won the match,normal,0,Kolkata Knight Riders,0,8,SP Narine,Eden Gardens,A Deshmukh,NJ Llong
12,2017,Bangalore,14/04/2017,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Won the match,normal,0,Mumbai Indians,0,4,KA Pollard,M Chinnaswamy Stadium,KN Ananthapadmanabhan,AK Chaudhary
13,2017,Rajkot,14/04/2017,Rising Pune Supergiant,Gujarat Lions,Gujarat Lions,field,Won the match,normal,0,Gujarat Lions,0,7,AJ Tye,Saurashtra Cricket Association Stadium,A Nand Kishore,S Ravi
14,2017,Kolkata,15/04/2017,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Lose,normal,0,Kolkata Knight Riders,17,0,RV Uthappa,Eden Gardens,AY Dandekar,NJ Llong
15,2017,Delhi,15/04/2017,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,Won the match,normal,0,Delhi Daredevils,51,0,CJ Anderson,Feroz Shah Kotla,YC Barde,Nitin Menon
16,2017,Mumbai,16/04/2017,Gujarat Lions,Mumbai Indians,Mumbai Indians,field,Won the match,normal,0,Mumbai Indians,0,6,N Rana,Wankhede Stadium,A Nand Kishore,S Ravi
17,2017,Bangalore,16/04/2017,Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Lose,normal,0,Rising Pune Supergiant,27,0,BA Stokes,M Chinnaswamy Stadium,KN Ananthapadmanabhan,C Shamshuddin
18,2017,Delhi,17/04/2017,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,Lose,normal,0,Kolkata Knight Riders,0,4,NM Coulter-Nile,Feroz Shah Kotla,Nitin Menon,CK Nandan
19,2017,Hyderabad,17/04/2017,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Lose,normal,0,Sunrisers Hyderabad,5,0,B Kumar,"Rajiv Gandhi International Stadium, Uppal",AY Dandekar,A Deshmukh
20,2017,Rajkot,18/04/2017,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,Lose,normal,0,Royal Challengers Bangalore,21,0,CH Gayle,Saurashtra Cricket Association Stadium,S Ravi,VK Sharma
21,2017,Hyderabad,19/04/2017,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,bat,Won the match,normal,0,Sunrisers Hyderabad,15,0,KS Williamson,"Rajiv Gandhi International Stadium, Uppal",CB Gaffaney,NJ Llong
22,2017,Indore,20/04/2017,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Won the match,normal,0,Mumbai Indians,0,8,JC Buttler,Holkar Cricket Stadium,M Erasmus,C Shamshuddin
23,2017,Kolkata,21/04/2017,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,Won the match,normal,0,Gujarat Lions,0,4,SK Raina,Eden Gardens,CB Gaffaney,Nitin Menon
24,2017,Mumbai,22/04/2017,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Lose,normal,0,Mumbai Indians,14,0,MJ McClenaghan,Wankhede Stadium,A Nand Kishore,S Ravi
25,2017,Pune,22/04/2017,Sunrisers Hyderabad,Rising Pune Supergiant,Rising Pune Supergiant,field,Won the match,normal,0,Rising Pune Supergiant,0,6,MS Dhoni,Maharashtra Cricket Association Stadium,AY Dandekar,A Deshmukh
26,2017,Rajkot,23/04/2017,Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,Lose,normal,0,Kings XI Punjab,26,0,HM Amla,Saurashtra Cricket Association Stadium,AK Chaudhary,M Erasmus
27,2017,Kolkata,23/04/2017,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Lose,normal,0,Kolkata Knight Riders,82,0,NM Coulter-Nile,Eden Gardens,CB Gaffaney,CK Nandan
28,2017,Mumbai,24/04/2017,Rising Pune Supergiant,Mumbai Indians,Mumbai Indians,field,Lose,normal,0,Rising Pune Supergiant,3,0,BA Stokes,Wankhede Stadium,A Nand Kishore,S Ravi
29,2017,Pune,26/04/2017,Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders,field,Won the match,normal,0,Kolkata Knight Riders,0,7,RV Uthappa,Maharashtra Cricket Association Stadium,AY Dandekar,NJ Llong
30,2017,Bangalore,27/04/2017,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,Won the match,normal,0,Gujarat Lions,0,7,AJ Tye,M Chinnaswamy Stadium,AK Chaudhary,C Shamshuddin
31,2017,Kolkata,28/04/2017,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,Won the match,normal,0,Kolkata Knight Riders,0,7,G Gambhir,Eden Gardens,NJ Llong,S Ravi
32,2017,Chandigarh,28/04/2017,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Lose,normal,0,Sunrisers Hyderabad,26,0,Rashid Khan,"Punjab Cricket Association IS Bindra Stadium, Mohali",Nitin Menon,CK Nandan
